Name	CUTOS	CUTOT	CUTOU	CUTOW	CUTOX	CWYAU
Pp3c5_1010V3.1	2.4354	1.45232	2.7841	2.00655	2.75743	0.992805
Pp3c26_6160V3.4	0	0	0	0	0	0
Pp3c5_15420V3.3	0	0	0	0	0	0
Pp3c11_3810V3.1	0	0	0	0	0	0
Pp3c19_1340V3.2	0	0.037219	0	0	0	0.090585
Pp3c14_2780V3.1	0.728225	0.591969	0.729369	0.747539	0.883954	0.261918
Pp3c2_1641V3.1	0	0	0	0	0	0
Pp3c5_25250V3.1	1.99342	1.63952	2.59539	2.71883	4.61601	1.22465
Pp3c7_14690V3.3	0.709616	0	0	0.676596	0	0
Pp3c5_4940V3.1	17.7401	19.4547	19.3871	16.4739	12.899	11.9388
Pp3c12_10580V3.1	0	0	0	0	0	0
Pp3c5_3300V3.1	62.9125	56.3955	58.6412	76.1804	65.4411	35.2102
jgi|MorGBAus27b_1|402707|estExt_Genewise1.C_160043	0	0	0	0	0	0.002897
Pp3c5_6960V3.2	0	0	0	0	0	0.920282
Pp3c16_620V3.1	0	1.28726	0.875366	0	1.08477	2.45222
Pp3c5_6960V3.1	2.57859	2.31183	2.92999	3.23754	3.58433	0.041345
jgi|MorGBAus27b_1|438326|fgenesh1_kg.3_#_1894_#_TRINITY_DN9572_c0_g1_i1	0	0.139427	0.248152	0	0	0.352418
Pp3c5_8630V3.1	2.47108	1.21261	1.9564	3.38422	3.33769	0.557818
Pp3c5_22870V3.1	11.6509	13.4303	12.9202	17.4416	21.0308	9.59045
Pp3c5_19220V3.1	23.2452	24.8394	27.1602	36.5328	36.9581	14.5358
Pp3c2_35310V3.1	7.50895	7.49583	8.23804	7.57801	8.53635	5.24637
Pp3c9_23810V3.2	0	0	0	1.56046	0	0
Pp3c1_4300V3.1	0.805742	0.608932	0.565917	0	0.957142	0
Pp3c5_26380V3.1	0.051508	0.07746	0.045345	0.105132	0.076016	0.057437
jgi|MorGBAus27b_1|231167|CE231166_323	0	0.00678	0.011015	0.009574	0	0.062905
Pp3c5_20190V3.1	0.455214	0.456224	0.441284	0.546689	0.730175	0.225434
jgi|MorGBAus27b_1|479681|estExt_fgenesh1_pm.C_10024	0	0.096992	0.694629	0	0	1.25322
Pp3c5_28350V3.1	142.37	125.527	136.296	144.703	102.099	125.591
Pp3c19_3230V3.1	0.08346	0	0	0	0	0
Pp3c5_24550V3.2	0.119788	0.31157	0	1.13148	1.40969	0
Pp3c5_5980V3.6	1.09462	0	1.5815	0	0	0.853792
Pp3c5_5980V3.5	0	0	0	2.50044	0	0
Pp3c5_6120V3.4	7.13391	3.94566	4.59733	4.23294	3.88573	5.43051
