Name	CUTOZ	CUTPA	CUTPB	CUTPC	CUTPG	CUTPH
jgi|MoeNVP64_1|418452|estExt_fgenesh1_pg.C_190269	0	0	0	0.058983	0.019472	0.375206
jgi|MoeNVP64_1|418377|estExt_fgenesh1_pg.C_190181	0	0	0	0	0.036183	0.094706
jgi|MoeNVP64_1|418295|estExt_fgenesh1_pg.C_190093	0	0	0	1.64086	0.952786	6.87673
jgi|MoeNVP64_1|418257|estExt_fgenesh1_pg.C_190053	0	0	0	0.014793	0	0.123123
jgi|MoeNVP64_1|418253|estExt_fgenesh1_pg.C_190048	0	0	0	0.576548	0.239969	2.38079
jgi|MoeNVP64_1|418243|estExt_fgenesh1_pg.C_190038	0	0	0	0.140646	0.071161	0.765697
jgi|MoeNVP64_1|41822|CE41301_89	0	0	0	0	0	0
jgi|MoeNVP64_1|418222|estExt_fgenesh1_pg.C_190016	0	0	0.045365	6.10528	3.30813	13.1604
jgi|MoeNVP64_1|418092|estExt_fgenesh1_pg.C_180126	0	0	0	0	0	0
jgi|MoeNVP64_1|418079|estExt_fgenesh1_pg.C_180108	0	0	0	37.2725	9.07748	145.293
jgi|MoeNVP64_1|418065|estExt_fgenesh1_pg.C_180092	0	0	0	0	0	0
jgi|MoeNVP64_1|418038|estExt_fgenesh1_pg.C_180059	0	0	0	0	0	0
jgi|MoeNVP64_1|418026|estExt_fgenesh1_pg.C_180046	0	0	0	0.13127	0.132326	0.53045
jgi|MoeNVP64_1|417946|estExt_fgenesh1_pg.C_170293	0	0	0	0	0	0
jgi|MoeNVP64_1|417893|estExt_fgenesh1_pg.C_170232	0	0	0.100072	0	0	0.370549
jgi|MoeNVP64_1|417888|estExt_fgenesh1_pg.C_170227	0	0	0	0	0.057459	0
jgi|MoeNVP64_1|417873|estExt_fgenesh1_pg.C_170210	0	0	0	0	0	0
jgi|MoeNVP64_1|417812|estExt_fgenesh1_pg.C_170144	0	0	0	0.011361	0.005845	0.026923
jgi|MoeNVP64_1|417799|estExt_fgenesh1_pg.C_170128	0	0.007231	0	0.066288	0.097694	0.476686
jgi|MoeNVP64_1|417765|estExt_fgenesh1_pg.C_170094	0	0	0	0.192437	0.151584	1.40854
jgi|MoeNVP64_1|417660|estExt_fgenesh1_pg.C_160338	0	0	0	0.039985	0.019783	0.071485
jgi|MoeNVP64_1|417631|estExt_fgenesh1_pg.C_160303	0	0	0	0	0	0
jgi|MoeNVP64_1|417629|estExt_fgenesh1_pg.C_160300	0	0	0	0.050671	0.049434	0.544737
jgi|MoeNVP64_1|417615|estExt_fgenesh1_pg.C_160280	0	0	0	0.064212	0	0.106831
jgi|MoeNVP64_1|417591|estExt_fgenesh1_pg.C_160248	0	0	0	0	0.005297	0
jgi|MoeNVP64_1|417551|estExt_fgenesh1_pg.C_160202	0	0	0	0	0	0
